super_opeid,female,par_mean,k_mean,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5,mr_q0
30955,0.79878789,35390.3968,24916.149,www.asa.edu,ASA Institute Of Business & Computer Technology,1,NY,11201,11,Two-year for-profit,3,2,0,0,0,4711,12298,0.316260567,,22011,,26400,0.11801676,0.081703909,0.073324025,0.071229048,0,6.6037736,11.425576,0,0,81.97065,0,0,,0.79812052,0.020118706,0.224310676,0.302162847,,0.542901496,,0.41828805,0.45980033,0.45908639,0.49794537,0.45103508,0.44333166
3537,0.55961841,138760.9698,50874.14613,www.acu.edu,Abilene Christian University,3,TX,79699,6,Selective private,2,1,0,0,0,3727,29450,0.56561086,1075,20836,0.51059997,40200,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,0.48940003,0.558157775,0.015864988,0.56801058,0.556654383,0.422492401,0.515264841,0.458594019,0.61133856,0.5487659,0.55333102,0.59738696,0.61255848,0.59242207
1541,0.44160941,80366.66127,35346.92997,www.abac.edu,Abraham Baldwin Agricultural College,3,GA,31793,7,Nonselective four-year public,1,1,1,0,0,3394,3394,,925,7887,0.29100001,31900,0.004942966,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131,0.70899999,0.439757368,0.014425467,0.045888105,,0.240121581,0.210697149,0.691443096,0.47152263,0.51417655,0.54793787,0.56494147,0.55546802,0.53531063
7531,0.4142569,166594.9696,39988.01721,www.academyart.edu,Academy Of Art University,4,CA,94105,10,Four-year for-profit,3,1,0,0,0,10508,19740,0.33,,28224,,36100,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0,,0.412314137,0.04517847,0.373436999,0.316185567,,0.689034716,,0.46328181,0.50448275,0.50762242,0.5176,0.53499699,0.51605916
1345,0.50084746,76121.81634,38010.81341,www.adams.edu,Adams State University,4,CO,81101,5,Selective public,1,1,1,0,0,2284,8014,0.261176471,984,14705,0.47400001,33200,0.0125,0.035096154,0.27548078,0.002403846,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,0.52599999,0.499191896,0.009627065,0.138465854,0.245942996,0.311854103,0.371060307,0.497402163,0.49757031,0.53208673,0.56378084,0.55884016,0.58858407,0.55242109
2666,0.71840209,130723.7409,54029.66686,WWW.ADELPHI.EDU,Adelphi University,1,NY,11530,6,Selective private,2,1,0,0,0,5040,32340,0.625141563,1115,20512,0.3186,50600,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,0.6814,0.7174681,0.021540936,0.62592177,0.617412523,0.47112462,0.507644181,0.662177917,0.63396782,0.62208229,0.66312301,0.65213352,0.67233694,0.65645194
2860,0.5263952,75699.25196,33735.5687,WWW.SUNYACC.EDU,Adirondack Community College - SUNY Office Of Community Colleges,1,NY,12804,9,Two-year (public and private not-for-profit),1,2,1,0,0,4230,4302,0.192740926,,2810,,32300,0.006664551,0.008251349,0.009203428,0.002856236,0,19.017094,12.606837,50,7.4786325,8.5470085,2.1367521,0.21367522,,0.524824371,0.018039399,0.064083039,0.176096409,,0.091283282,,0.4862791,0.51428068,0.50920004,0.55884093,0.53968793,0.52692991
2234,0.55478501,113708.1117,43944.55249,www.adrian.edu,Adrian College,2,MI,49221,6,Selective private,2,1,0,0,0,1646,32660,0.544513458,990,15774,0.43720001,36500,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0,0.56279999,0.553308343,0.006869064,0.632334081,0.535121982,0.319148936,0.396203782,0.536422416,0.54885733,0.60171163,0.5991171,0.59635538,0.63295698,0.60715014
11484,0.99137932,90962.75,27012.46615,,Advanced Institute Of Hair Design,2,WI,53228,11,Two-year for-profit,3,2,0,0,0,355,,0.750412063,,10707.964,,22000,0.009090909,0.071753249,0.036201298,0,0,0,0,0,0,0,0,100,,0.991350727,0.00128822,,0.74526592,,0.277047794,,0.59814304,0.40780908,0.42056233,0.48864838,0.42910317,0.45323527
31275,0.039164491,69400.14868,33265.16236,www.auto.edu,Advanced Technology Institute,3,VA,23462,11,Two-year for-profit,3,2,0,0,0,824,13255,0.681415929,,18350,0.096600004,35300,0.043956045,0.26373628,0.021978023,0,0,0,0,0,0,15.163935,0,84.836067,0.903399996,0.03597764,0.003315653,0.243487496,0.674847185,,0.456792737,0.897571831,0.52849734,0.50868702,0.54800522,0.59398943,0.55291599,0.54722869
31155,0.76348549,73132.16146,45837.11328,www.fhchs.edu,Adventist University Of Health Sciences,3,FL,32803,8,Nonselective four-year private not-for-profit,2,1,0,0,0,2160,12430,0.333333333,925,18425,0.8664,51100,0.084337346,0.13769363,0.17728055,0,0,0,100,0,0,0,0,0,0.1336,0.762701031,0.009091027,0.226955755,0.319587629,0.240121581,0.458556779,0.081327517,0.55127591,0.63204902,0.59475309,0.66458988,0.63706917,0.62302995
1542,0.99695122,148536.1146,45756.53516,www.agnesscott.edu,Agnes Scott College,3,GA,30030,4,Highly selective private,2,1,0,0,0,915,35982,0.720183486,,16756,0.33129999,39400,0.049327355,0.19282511,0.036995515,0.053811658,31.884058,0,0,10.144928,0,15.94203,42.028984,0,0.66870001,0.996941108,0.003709035,0.698901892,0.714414074,,0.419300969,0.648711699,0.46623808,0.58050793,0.50426215,0.58574533,0.63266397,0.58335757
