super_opeid,female,par_mean,k_mean,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5,mr_q0
6949,0.49316388,87515.72661,32465.92019,www.kvcc.edu,Kalamazoo Valley Community College,2,MI,49003,9,Two-year (public and private not-for-profit),1,2,1,0,0,10192,4896,0.105935387,,4955,,28700,0.014486533,0.078978434,0.024895376,0.020388454,1.994302,15.099715,22.222221,39.17379,4.985755,5.840456,5.6980057,4.985755,,0.491482832,0.043812439,0.075985893,0.087501065,,0.141734876,,3.306683373,3.05809322,2.92855003,2.89745616,2.79146467,2.9381718
7690,0.57894737,75771.4974,34953.07813,www.kankakee.edu,Kankakee Community College,2,IL,60901,9,Two-year (public and private not-for-profit),1,2,1,0,0,3825,7707,0.196969697,,4604,,27900,0.00448718,0.1275641,0.02724359,0.000641026,0,21.428572,26.666666,36.904762,3.0952382,4.5238094,0.71428573,6.6666665,,0.577550844,0.01628863,0.132314043,0.180412371,,0.133479161,,3.22136696,3.14577118,2.94584251,2.78548199,2.5977169,2.89713666
2473,0.57398373,164667.6676,32850.7569,www.kcai.edu,Kansas City Art Institute,2,MO,64111,8,Nonselective four-year private not-for-profit,2,1,0,0,0,739,35118,0.578947368,1090,20529,0.35699999,25800,0.024667932,0.013282732,0.053130928,0.007590133,100,0,0,0,0,0,0,0,0.64300001,0.572570741,0.002948208,0.68158865,0.570265871,0.440729483,0.50804403,0.621461141,3.440539656,3.24794722,3.314473699,3.05514027,2.9418845,3.10269794
1925,0.56501079,71122.62727,31822.80758,www.kckcc.edu,Kansas City Kansas Community College,2,KS,66112,9,Two-year (public and private not-for-profit),1,2,1,0,0,6570,2640,0.20212766,,15823,,30700,0.01928217,0.22814052,0.059755631,0.005536464,0.89605737,17.741936,24.372761,21.8638,4.6594982,10.035842,7.7060933,12.724014,,0.56356804,0.028154949,0.030779096,0.185676683,,0.397356289,,3.217253087,3.057058781,2.819404905,2.87923958,2.65783814,2.90635357
1925,0.56501079,71122.62727,31822.80758,www.kckats.com,Kansas City Kansas Community College,2,KS,66112,9,Two-year (public and private not-for-profit),1,2,1,0,0,6570,2640,0.20212766,,15823,,30700,0.01928217,0.22814052,0.059755631,0.005536464,0.89605737,17.741936,24.372761,21.8638,4.6594982,10.035842,7.7060933,12.724014,,0.56356804,0.028154949,0.030779096,0.185676683,,0.397356289,,3.217253087,3.057058781,2.819404905,2.87923958,2.65783814,2.90635357
1928,0.48891681,118400.4989,54335.87408,www.k-state.edu,Kansas State University,2,KS,66506,5,Selective public,1,1,1,0,0,20169,9034,0.600430637,,13078,0.040899999,43300,0.013368398,0.029640587,0.023887793,0.012327416,5.3181677,25.361204,2.3977866,3.2585306,1.0759299,36.059021,25.299723,1.2296342,0.959100001,0.487221675,0.086941862,0.158905098,0.592192093,,0.332792361,0.956632383,2.479035005,2.35416732,2.321449805,2.2569253,2.135416322,2.24562753
1929,,86824.24441,41670.21398,www.kwu.edu,Kansas Wesleyan University,2,KS,67401,6,Selective private,2,1,0,0,0,684,25200,0.427272727,1010,19747,0.463,36600,0.022955524,0.051649928,0.076040171,0.005738881,6.666667,16.190475,22.857143,6.6666665,5.7142859,11.428572,30.476191,0,0.537,,0.002710449,0.482847066,0.415463918,0.343465046,0.489650955,0.509065836,3.09813347,2.91320226,2.555345748,2.22077884,2.18370046,2.477762895
1701,0.54409319,64447.38151,33143.23893,www.kaskaskia.edu,Kaskaskia College,2,IL,62801,9,Two-year (public and private not-for-profit),1,2,1,0,0,5258,6784,0.462174941,,5170,,24600,0.004110613,0.087070256,0.017937221,0.000747384,0,13.066202,24.564461,41.811848,3.8327527,7.8397212,0.17421603,8.7108021,,0.542581061,0.022483324,0.113818532,0.451085764,,0.146791796,,3.426353835,3.0319464,2.77339796,2.80995129,2.49696291,2.91201682
2622,0.61672586,89084.32862,47872.80197,www.kean.edu,Kean University,1,NJ,7083,5,Selective public,1,1,1,0,0,12078,11244,0.462335867,910,9979,0.1963,46800,0.061397851,0.19172043,0.18763441,0.030967742,7.8963599,20.357803,5.7371993,2.5293028,8.9450951,13.016656,40.838989,0.67859346,0.8037,0.615454636,0.0519654,0.203190125,0.451250009,0.221884498,0.259902154,0.791856639,2.49124141,2.34374562,2.3412769,2.24049923,2.188286386,2.288967915
2590,0.5923022,121387.9032,44113.02474,www.keene.edu,Keene State College,1,NH,3435,5,Selective public,1,1,1,0,0,4799,12864,,965,16203,0.1815,39900,0.006283454,0.002559925,0.006981615,0.003723528,14.653465,9.009901,6.4356437,13.762377,0,18.613861,37.227722,0.2970297,0.8185,0.590949969,0.02049912,0.235652453,,0.288753799,0.406294101,0.807549566,2.58104086,2.67277251,2.44977842,2.39592582,2.328759975,2.41314698
