super_opeid,female,par_mean,k_mean,name,region,state,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,enrollment_norm,price_norm,grad_norm,sat_norm,female_norm,netprice_norm
2555,0.54989815,118685.4894,56404.39689,Nebraska Wesleyan University,2,NE,68504,6,Selective private,2,1,0,3,5338.856,6281.7583,0,0,1927,1699,28500,13704,0.684931507,0.663185379,1095,,17269,0.23109999,45500,,13269405,8662580,0.013134329,0.013134329,0.014925373,0.005373134,11.019283,24.242424,8.8154268,7.9889808,4.6831956,11.019283,32.231403,0,0.008083795,0.54897403,0.678435249,0.446808511,0.548405275,0.431367015
3988,0.56799036,100182.2506,43074.65695,Neumann University,1,PA,19014,6,Selective private,2,1,0,5,3033.0474,4010.3923,0,0,2573,1804,25860,14320,0.501851852,0.543859649,855,925,20317,0.44690001,41600,,13066138,4674337.5,0.010854817,0.12890095,0.019674355,0.1377205,0.76335877,12.977099,14.503817,39.312977,0,8.7786255,23.664122,0,0.010876378,0.496072459,0.491580756,0.155015198,0.566557492,0.503057672
41143,,114253.7708,35911.26563,Nevada State College,4,NV,89002,7,Nonselective four-year public,1,1,1,999,,3025.3762,0,0,3377,,4482,,0.137931034,,,,9252,0.49630001,,,9172550,,,,,,,,,,,,,,0.014351978,0.067689965,0.120156416,,,0.24280271
7780,0.012121212,57882.89583,33818.90755,New Castle School Of Trades,1,PA,16101,11,Two-year for-profit,3,2,0,999,3216.4092,3486.844,0,0,856,443,,,0.672268908,0.598958333,,,9457,0,31100,,3002890,1362625,0,0.067720093,0.011286682,0,0,0,0,0,0,31.875,0,68.125,0.003453985,,0.665511566,,0.008844666,0.247624424
2579,0.48811701,161720.5338,39414.0518,New England College,1,NH,3242,6,Selective private,2,1,0,5,3916.323,4066.4792,0,0,1478,835,33900,18886,0.397923875,,,,28494,0.1003,35600,,7792039,2982957.5,0.004103967,0.019151846,0.005471957,0.064295486,16.981133,27.044025,4.4025159,5.6603775,0,5.6603775,40.251572,0,0.006142819,0.657181789,0.385509934,,0.486419222,0.695385267
22540,0.32022473,139945.0573,35646.1224,New England Culinary Institute,1,VT,5602,10,Four-year for-profit,3,1,0,999,14414.333,6377.5259,0,0,462,177,,19135,0.282051282,,,,21100,,34400,,3725849,5028381,0.005649718,0.039548021,0.050847456,0,0,14.569536,0,0,0,0,0,85.430466,0.001750768,,0.267248216,,0.317970086,0.521474269
7486,0.22100122,96417.0907,37802.621,New England Institute Of Art ,1,MA,2445,10,Four-year for-profit,3,1,0,999,4056.9229,5740.4697,0,0,779,581,18760,12350,0.36119403,,,,26848,,34900,,7159215,3259450,0.024096385,0.1342513,0.091222033,0,8.2706766,0,0,0,0,57.142857,34.586468,0,0.003121123,0.353799295,0.348022773,,0.218417476,0.65667043
7845,0.15509762,86428.23506,41554.99769,New England Institute Of Technology,1,RI,2818,8,Nonselective four-year private,2,1,0,999,3915.0703,8317.6875,0,0,2860,2712,22371,11745,,,,,24080,,38800,,21509135,8980383,0.031342182,0.062315635,0.067846611,0.013274336,0.97560978,4.390244,7.8048782,0.12195122,0,71.951218,0,14.756098,0.012117046,0.426158224,,,0.15229529,0.591565528
2613,0.55976182,65974.6429,43979.9705,New Jersey City University,1,NJ,7305,5,Selective public,1,1,1,4,4589.8198,7012.4287,0,0,6437,8342,10852,4643,0.317411402,0.314500942,890,848.5,8561,0.58710003,41900,308.75751,59305261,30362810,0.088465147,0.1894342,0.28352609,0.022038138,11.098779,20.088791,11.54273,0,10.321864,15.871254,31.07658,0,0.027580006,0.195335043,0.30333741,0.197568389,0.55830166,0.226550005
2621,0.19858542,96139.37753,74319.956,New Jersey Institute Of Technology,1,NJ,7102,5,Selective public,1,1,1,3,6207.6772,7870.374,0,0,7317,8820,15648,6730,0.576712329,0.467445743,1165,1140,11384,0.34529999,65300,4286.7349,67819000,51094000,0.22050737,0.11495476,0.11353557,0.06067057,0,10.160428,0.80213904,1.0695187,0,87.967911,0,0,0.031384145,0.291439564,0.567984748,0.531914894,0.195927329,0.292948537
2653,0.51759529,63212.54701,34194.26101,New Mexico Highlands University,4,NM,87701,5,Selective public,1,1,1,5,4896.3662,4584.6011,0,0,2396,3275,4500,2017,0.18443804,0.189655172,,,8809,,35100,601.65649,17705377,16768996,0.019067796,0.029661017,0.63188559,0.007944915,6.6371679,17.699116,13.274336,2.2123895,0,14.159292,46.0177,0,0.010111228,0.068050657,0.16762233,,0.515995274,0.232383103
2654,0.24398625,101146.0309,64946.66758,New Mexico Institute Of Mining & Technology,4,NM,87801,3,Highly selective public,1,1,1,2,6667.3286,7419.4712,0,0,1604,1549,6256,2499,0.441666667,0.414529915,1215,,7612,0.58639997,52800,11548.165,14622915,11402164,0.024232633,0.010500807,0.19386107,0.017770598,2.8248587,3.9548023,0,6.2146893,0,85.87571,1.1299435,0,0.006687503,0.103238217,0.43015464,0.592705167,0.241478742,0.204228996
2655,0.49290445,64578.32568,39279.07177,New Mexico Junior College,4,NM,88240,9,Two-year (public and private not-for-profit),1,2,1,999,2004.1688,2933.8159,0,0,2320,3200,1704,750,0.18442623,0.194148936,,,9595,,28100,364.10626,8612345,6551617,0.0065625,0.037812501,0.293125,0.003125,0.41666666,12.916667,36.25,8.333333,2.5,12.083333,16.666666,10.833333,0.009782689,0.012023084,0.167610276,,0.491222541,0.250870261
