,super_opeid,female,par_mean,k_mean,mr_kq5_pq1,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,Unnamed: 0,mr_q0,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
1383,1937,0.44791666,72076.0625,41586.94922,0.0075951890000000005,www.ottawa.edu,Ottawa University,4,AZ,85021,8,Nonselective four-year private not-for-profit,2,1,0,0,0,1551,16347.235,0.335403727,,14849.0,0.0112,40700.0,0.010675271,0.0628023,0.060526341,0.005781636999999999,2.3255812999999996,28.052326,6.3953489999999995,1.3081396,3.9244187000000004,2.7616278999999997,55.232558999999995,0.0,0.9888,0.44608553799999995,0.00645839,0.305451166,0.32170071100000003,,0.37444726700000003,0.9881242709999999,1373,-724.8031480000001,-88025.93542210001,-31945.1817613,-1804.263378,12948.473963699998,32957.7096973
1384,3110,0.61349261,124863.6245,47374.0396,0.012216148999999999,www.otterbein.edu,Otterbein University,2,OH,43081,6,Selective private,2,1,0,0,0,2479,31624.0,0.588607595,1114.0,21210.0,0.2626,41200.0,0.009159697,0.06053365,0.011150936,0.018717643,19.69697,18.614719,8.2251081,5.6277056,0.0,11.038961,36.796535,0.0,0.7374,0.6122106620000001,0.010470027,0.611574223,0.580125277,0.469908815,0.52406153,0.7215565629999999,1374,-4380.950577000001,-111017.17713099999,-40987.956166,-2422.989831,13194.4413726,36293.216452
1385,1102,0.55462188,106601.0807,50154.76302,0.023570523,www.obu.edu,Ouachita Baptist University,3,AR,71998,6,Selective private,2,1,0,0,0,1543,23320.0,0.602150538,1065.0,13032.0,0.29890001,37500.0,0.005834306,0.036172695,0.008168028,0.047257877999999996,14.682539000000002,16.666666,4.7619047,0.0,16.666666,7.936507700000001,39.285713,0.0,0.70109999,0.5531446720000001,0.006423806999999999,0.445174735,0.593947456,0.41033434700000004,0.331710415,0.683066466,1375,-207.1259169999976,-109680.6994158,-27676.113618,577.3570510000009,22882.029434,33941.003410000005
1386,2023,0.7474227,111970.6462,39994.67759,0.018520266,www.olhcc.edu,Our Lady Of Holy Cross College,3,LA,70131,6,Selective private,2,1,0,0,0,878,10310.0,0.280487805,,10295.0,0.51529998,39100.0,0.030408341000000002,0.12163337,0.04604691599999999,0.013032146000000001,0.0,20.27972,25.874126,2.0979021,4.1958041,6.9930072,40.559441,0.0,0.48470002,0.7465849640000001,0.003549089,0.18447419,0.265652502,,0.26733465,0.453610443,1376,5621.608903000002,-91961.778383,-16206.711661000005,839.5798820000017,27096.541766,38575.009898000004
1387,31062,0.85842699,94505.85953,38825.655569999995,0.008923079,www.ololcollege.edu,Our Lady Of The Lake College,3,LA,70808,8,Nonselective four-year private not-for-profit,2,1,0,0,0,1486,11150.0,0.35714285700000004,,13723.0,0.33849999,44200.0,0.015194681000000002,0.15859449,0.015194681000000002,0.0,0.0,0.0,88.648651,11.351352,0.0,0.0,0.0,0.0,0.66150001,0.857957428,0.006177403000000001,0.201306508,0.343888071,,0.34796312,0.641077301,1377,4535.328921999999,-105224.780882,-21916.172259,12544.262371400006,24484.2473896,35316.4674925
1388,3598,0.76923078,53909.98157,40071.62203,0.036030967000000004,www.ollusa.edu,Our Lady Of The Lake University,3,TX,78207,6,Selective private,2,1,0,0,0,1555,24596.0,0.34099616899999996,935.0,14512.0,0.3439,39200.0,0.007165249,0.064039409,0.63412452,0.009404388,3.2634034,31.235432,1.8648019,17.482517,13.519814000000002,12.587413,20.046619,0.0,0.6561,0.768465376,0.006475682,0.470743828,0.32740846100000004,0.252279635,0.366520839,0.6353514929999999,1378,-776.0355358999997,-106979.774063,-33917.232222000006,-1316.2284271999995,16648.4242475,36708.662382
1389,5753,0.47487965,75005.68405,33324.52119,0.011317668000000001,www.owens.edu,Owens State Community College,2,OH,43551,9,Two-year (public and private not-for-profit),1,2,1,0,0,14691,3903.0,0.068150209,,5927.0,,29500.0,0.0065004730000000005,0.10886715,0.031113915,0.003471127,0.0,27.306618,25.349487,3.1686859,10.717614,23.578751,5.871388400000001,4.0074558,,0.47313795700000005,0.063261098,0.056087688,0.048936811,,0.164596858,,1379,9195.095292,-84245.05293280001,-21897.837264,7441.719459999998,26752.838276,42693.075248000016
1390,22027,0.51071429,75367.17772,29060.167510000003,0.01219454,www.occ.edu,Ozark Christian College,2,MO,64801,8,Nonselective four-year private not-for-profit,2,1,0,0,0,751,11360.0,0.504950495,,10835.0,,28200.0,0.00541272,0.014884979,0.01759134,0.010825439,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.509091452,0.0030000820000000003,0.205514588,0.494743289,,0.280035751,,1380,18388.785556000006,-76889.71324900001,-12857.884689000002,19964.681565,34596.114135,51589.898878
1391,30830,0.50168276,70040.3962,29882.631869999997,0.012166936000000001,www.otc.edu,Ozarks Technical Community College,2,MO,65802,9,Two-year (public and private not-for-profit),1,2,1,0,0,14798,3924.0,0.196360879,,7098.0,,27500.0,0.016711336,0.017184298,0.013085291,0.000945925,0.0,23.616238,23.062731,38.191883000000004,0.92250925,8.3025827,0.0,5.904058900000001,,0.500029967,0.06372364700000001,0.056508496,0.179791001,,0.19213943,,1381,13199.553638,-86130.6860398,-21041.93849,12038.931393,32703.721592,46679.21419599999
1392,30198,0.91884059,58856.97005,24387.74479,0.009945085,www.pcihealth.net,PCI Health Training Center,3,TX,75247,12,Less than two-year schools of any type,3,3,0,0,0,521,,,,16362.0,,24700.0,0.0,0.40306121,0.37755102,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.918571405,0.002005819,,,,0.41003387,,1382,16058.553568,-86108.46576060001,-17435.789193999994,10671.885352399999,35354.158173200005,26531.00791848
